cities,coord
Shanghai,"(31.22222, 121.45806)"
Beijing,"(39.9075, 116.39723)"
Tianjin,"(39.14222, 117.17667)"
Guangzhou,"(23.11667, 113.25)"
Shenzhen,"(22.54554, 114.0683)"
Wuhan,"(30.58333, 114.26667)"
Chongqing,"(29.56278, 106.55278)"
Nanjing,"(32.06167, 118.77778)"
Shenyang,"(41.79222, 123.43278)"
Hangzhou,"(30.29365, 120.16142)"
Harbin,"(45.75, 126.65)"
Shantou,"(23.36814, 116.71479)"
Jinan,"(36.66833, 116.99722)"
Zhengzhou,"(34.75778, 113.64861)"
Changchun,"(43.88, 125.32278)"
Dalian,"(38.91222, 121.60222)"
Kunming,"(25.03889, 102.71833)"
Qingdao,"(36.06488, 120.38042)"
Xiamen,"(24.47979, 118.08187)"
Taiyuan,"(37.86944, 112.56028)"
Tangshan,"(39.63333, 118.18333)"
Hefei,"(31.86389, 117.28083)"
Changsha,"(28.19874, 112.97087)"
Shijiazhuang,"(38.04139, 114.47861)"
Nanchang,"(28.68396, 115.85306)"
Xinyang,"(32.12278, 114.06556)"
Yueyang,"(29.37455, 113.09481)"
Fuzhou,"(26.06139, 119.30611)"
Guiyang,"(26.58333, 106.71667)"
Datong,"(40.09361, 113.29139)"
Baoding,"(38.85111, 115.49028)"
Benxi,"(41.28861, 123.765)"
Qiqihar,"(47.34088, 123.96045)"
Nanning,"(22.81667, 108.31667)"
Anyang,"(36.096, 114.38278)"
Hohhot,"(40.81056, 111.65222)"
Xining,"(36.62554, 101.75739)"
Zhumadian,"(32.97944, 114.02944)"
Zhangjiakou,"(40.81, 114.87944)"
Mudanjiang,"(44.58333, 129.6)"
Guilin,"(25.28194, 110.28639)"
Zhanjiang,"(21.28145, 110.34271)"
Dandong,"(40.12917, 124.39472)"
Shaoguan,"(24.8, 113.58333)"
Haikou,"(20.04583, 110.34167)"
Xingtai,"(37.06306, 114.49417)"
Jinzhou,"(41.10778, 121.14167)"
Yingkou,"(40.66482, 122.22833)"
Bengbu,"(32.94083, 117.36083)"
Siping,"(43.16143, 124.37785)"
Neijiang,"(29.58354, 105.06216)"
Changde,"(29.04638, 111.6783)"
Wuhu,"(31.33728, 118.37351)"
Qionghai,"(19.2425, 110.46417)"
Yichang,"(30.71444, 111.28472)"
Yinchuan,"(38.46806, 106.27306)"
Jining,"(35.405, 116.58139)"
Chengde,"(40.9519, 117.95883)"
Chaoyang,"(41.57028, 120.45861)"
Jixi,"(45.30109, 130.95718)"
Yangjiang,"(21.85563, 111.96272)"
Weifang,"(36.71, 119.10194)"
Anqing,"(30.51365, 117.04723)"
Chifeng,"(42.26833, 118.96361)"
Yanji,"(42.9075, 129.50778)"
Jingdezhen,"(29.2947, 117.20789)"
Beihai,"(21.48333, 109.1)"
Wuzhou,"(23.48333, 111.31667)"
Mianyang,"(31.46784, 104.68168)"
Tongliao,"(43.6125, 122.26528)"
Karamay,"(45.58473, 84.88724)"
Turpan,"(42.94769, 89.17886)"
Laohekou,"(32.38583, 111.66778)"
Nanyang,"(32.99472, 112.53278)"
Rizhao,"(35.4275, 119.45528)"
Ji'an,"(27.11716, 114.97927)"
Yibin,"(28.76667, 104.62383)"
Hailar,"(49.2, 119.7)"
Gaoping,"(30.77576, 106.10294)"
Yuncheng,"(35.02306, 110.99278)"
Zaoyang,"(32.12722, 112.75417)"
Anda,"(46.40202, 125.31454)"
Korla,"(41.76055, 86.15231)"
Chenzhou,"(25.8, 113.03333)"
Jingzhou,"(30.35028, 112.19028)"
Nanping,"(26.645, 118.17361)"
Fuyang,"(32.9, 115.81667)"
Shanwei,"(22.78199, 115.3475)"
Anbu,"(23.44895, 116.68092)"
Yichun,"(47.72143, 128.87529)"
Qingyuan,"(23.7, 113.03333)"
Dunhua,"(43.3725, 128.2425)"
Yulin,"(22.63333, 110.15)"
Hanzhong,"(33.07507, 107.02214)"
Sanya,"(18.24306, 109.505)"
Acheng,"(45.54545, 126.97703)"
Altay,"(47.84864, 88.13361)"
Huadian,"(42.96333, 126.74778)"
Fuyu,"(45.18333, 124.81667)"
Hami,"(42.83393, 93.50601)"
Dali,"(38.91222, 121.60222)"
Ankang,"(32.68, 109.01722)"
Wuda,"(39.49944, 106.71167)"
Xichang,"(27.89642, 102.26341)"
Macheng,"(31.18013, 115.02213)"
Yushu,"(44.8, 126.53333)"
Baoshan,"(46.55861, 131.42444)"
Xilin Hot,"(43.96667, 116.03333)"
Lhasa,"(29.65, 91.1)"
Hotan,"(37.1075, 79.93548)"
Maba,"(24.68413, 113.59839)"
Shaowu,"(27.34089, 117.4831)"
Dongtai,"(32.85231, 120.30947)"
Hailun,"(47.4565, 126.95368)"
"New York, NY","(40.7127281, -74.0060152)"
"Los Angeles, CA","(34.0536909, -118.2427666)"
"Chicago, IL","(41.8755616, -87.6244212)"
"Houston, TX","(29.7589382, -95.3676974)"
"Phoenix, AZ","(33.4484367, -112.0741417)"
"Philadelphia, PA","(39.9527237, -75.1635262)"
"San Antonio, TX","(29.4246002, -98.4951405)"
