asciiname,population,location,coord
Shanghai,22315474,https://www.google.com/maps/?q,"31.22222,121.45806"
Beijing,11716620,https://www.google.com/maps/?q,"39.9075,116.39723"
Tianjin,11090314,https://www.google.com/maps/?q,"39.14222,117.17667"
Guangzhou,11071424,https://www.google.com/maps/?q,"23.11667,113.25"
Shenzhen,10358381,https://www.google.com/maps/?q,"22.54554,114.0683"
Wuhan,9785388,https://www.google.com/maps/?q,"30.58333,114.26667"
Dongguan,8000000,https://www.google.com/maps/?q,"23.01797,113.74866"
Chongqing,7457600,https://www.google.com/maps/?q,"29.56278,106.55278"
Chengdu,7415590,https://www.google.com/maps/?q,"30.66667,104.06667"
Nanjing,7165292,https://www.google.com/maps/?q,"32.06167,118.77778"
Nanchong,7150000,https://www.google.com/maps/?q,"30.79508,106.08473"
Xi'an,6501190,https://www.google.com/maps/?q,"34.25833,108.92861"
Shenyang,6255921,https://www.google.com/maps/?q,"41.79222,123.43278"
Hangzhou,6241971,https://www.google.com/maps/?q,"30.29365,120.16142"
Harbin,5878939,https://www.google.com/maps/?q,"45.75,126.65"
Tai'an,5499000,https://www.google.com/maps/?q,"36.18528,117.12"
Suzhou,5345961,https://www.google.com/maps/?q,"31.30408,120.59538"
Shantou,5329024,https://www.google.com/maps/?q,"23.36814,116.71479"
Jinan,4335989,https://www.google.com/maps/?q,"36.66833,116.99722"
Zhengzhou,4253913,https://www.google.com/maps/?q,"34.75778,113.64861"
Changchun,4193073,https://www.google.com/maps/?q,"43.88,125.32278"
Dalian,4087733,https://www.google.com/maps/?q,"38.91222,121.60222"
Kunming,3855346,https://www.google.com/maps/?q,"25.03889,102.71833"
Qingdao,3718835,https://www.google.com/maps/?q,"36.06488,120.38042"
Foshan,3600000,https://www.google.com/maps/?q,"23.02677,113.13148"
Puyang,3590000,https://www.google.com/maps/?q,"29.45679,119.88872"
Wuxi,3543719,https://www.google.com/maps/?q,"31.56887,120.28857"
Xiamen,3531347,https://www.google.com/maps/?q,"24.47979,118.08187"
Tianshui,3500000,https://www.google.com/maps/?q,"34.57952,105.74238"
Ningbo,3491597,https://www.google.com/maps/?q,"29.87819,121.54945"
Shiyan,3460000,https://www.google.com/maps/?q,"32.6475,110.77806"
Taiyuan,3426519,https://www.google.com/maps/?q,"37.86944,112.56028"
Tangshan,3372102,https://www.google.com/maps/?q,"39.63333,118.18333"
