US_cities,CN_cities
"New York, NY",Fuyang
"Los Angeles, CA",Hotan
"Chicago, IL",Benxi
"Houston, TX",Zaoyang
"Phoenix, AZ",Maba
"Philadelphia, PA",Hefei
"San Antonio, TX",Zaoyang
"San Diego, CA",Zaoyang
"Dallas, TX",Zaoyang
"Austin, TX",Zaoyang
"Fort Worth, TX",Zaoyang
"Jacksonville, FL",Nanning
"Columbus, OH",Hefei
"Charlotte, NC",Hefei
"San Francisco, CA",Laohekou
"Indianapolis, IN",Xinyang
"Seattle, WA",Guiyang
"Denver, CO",Dalian
"Washington, MD",Hefei
"Boston, MA",Xinyang
"El Paso, TX",Zhengzhou
"Nashville, TN",Wuhu
"Detroit, MI",Benxi
"Portland, OR",Yueyang
"Las Vegas, NV",Turpan
"Oklahoma City, OK",Zaoyang
"Memphis, TN",Yueyang
"Louisville, KY",Wuhu
"Baltimore, MD",Hefei
"Milwaukee, WI",Benxi
"Albuquerque, NM",Yuncheng
"Tucson, AZ",Maba
"Fresno, CA",Zaoyang
"Atlanta, GA",Hefei
"Kansas City, MO",Fuyang
"Miami, FL",Maba
"Raleigh, NC",Hefei
"Omaha, NE",Yinchuan
"Long Beach, CA",Maba
"Minneapolis, MN",Benxi
"Tulsa, OK",Zaoyang
"Bakersfield, CA",Hotan
"New Orleans, LA",Nanning
"Wichita, TX",Zhengzhou
"Cleveland, OH",Benxi
"Lexington, KY",Wuhu
"Corpus Christi, TX",Maba
"Stockton, CA",Zaoyang
"Cincinnati, OH",Wuhu
"Greensboro, NC",Hefei
"Pittsburgh, PA",Benxi
"Orlando, FL",Maba
"Newark, NJ",Hefei
"Durham, NC",Hefei
"Fort Wayne, IN",Benxi
"Toledo, OH",Zhumadian
"Madison, AL",Wuhu
"Lubbock, TX",Yuncheng
"Buffalo, NY",Benxi
"Norfolk, VA",Hefei
"Boise, ID",Shantou
"Richmond, VA",Hefei
"Tacoma, WA",Guiyang
"Des Moines, IA",Benxi
"Salt Lake City, UT",Shantou
"Grand Rapids, MI",Benxi
"Rochester, MN",Changchun
"Huntsville, AL",Wuhu
"Amarillo, TX",Yuncheng
"Tallahassee, FL",Nanning
"Akron, OH",Benxi
"Montgomery, AL",Hefei
"Augusta, GA",Fuyang
"Knoxville, TN",Wuhu
"Sioux Falls, SD",Changchun
"Mobile, AL",Shanghai
"Chattanooga, TN",Hefei
"Shreveport, LA",Jingzhou
"Brownsville, TX",Maba
"Peoria, IL",Xinyang
"Salem, OR",Yueyang
"Providence, RI",Hefei
"Eugene, OR",Guiyang
"Savannah, GA",Bengbu
"Rockford, IL",Benxi
"Midland, TX",Zhengzhou
"Waco, TX",Zaoyang
"Bridgeport, CT",Hefei
"Albany, NY",Benxi
